r_hold;r_buy;r_sell;modifier
3.792741215699916, 3.961690242868475, 3.69609636766504;1
3.6166796826390666, 3.9945711385656337, 3.6422576390673185;1
3.6026555818529764, 3.9063400710300296, 3.652681255563083;1
3.5558226003907123;3.965694510786344;3.6113613485193024;1
3.4363722651454927;3.8957059902210607;3.688627244823083;2
3.6386754520214817;3.8833704321563216;3.9727648714906167;2/3
5.747453482384317;3.7284941116606305;3.6725701016651855;3/4
3.294807710597407;3.725440072471869;3.7787457550696546;4/5
2.999214812613804;3.72581319890074;3.6709767732351968;5/6
2.839118170428752;3.99620693976436;3.7522930764190785;6/7
3.6733174286673616;3.7809759390588114;3.6937943179672583;7/8
3.8856334664505887;3.8253458331648207;3.6808476165396566;8/9
3.2510371781661873;3.8262661183664903;3.6611946519828145;17/18
1.4681416794322608;3.7626733637135015;3.683968207962119;35/36
3.479444602642467;3.940645101557211; 3.672392408296756;71/72






